@relation NATOPS_channel_4

@attribute channel_4_0 numeric
@attribute channel_4_1 numeric
@attribute channel_4_2 numeric
@attribute channel_4_3 numeric
@attribute channel_4_4 numeric
@attribute channel_4_5 numeric
@attribute channel_4_6 numeric
@attribute channel_4_7 numeric
@attribute channel_4_8 numeric
@attribute channel_4_9 numeric
@attribute channel_4_10 numeric
@attribute channel_4_11 numeric
@attribute channel_4_12 numeric
@attribute channel_4_13 numeric
@attribute channel_4_14 numeric
@attribute channel_4_15 numeric
@attribute channel_4_16 numeric
@attribute channel_4_17 numeric
@attribute channel_4_18 numeric
@attribute channel_4_19 numeric
@attribute channel_4_20 numeric
@attribute channel_4_21 numeric
@attribute channel_4_22 numeric
@attribute channel_4_23 numeric
@attribute channel_4_24 numeric
@attribute channel_4_25 numeric
@attribute channel_4_26 numeric
@attribute channel_4_27 numeric
@attribute channel_4_28 numeric
@attribute channel_4_29 numeric
@attribute channel_4_30 numeric
@attribute channel_4_31 numeric
@attribute channel_4_32 numeric
@attribute channel_4_33 numeric
@attribute channel_4_34 numeric
@attribute channel_4_35 numeric
@attribute channel_4_36 numeric
@attribute channel_4_37 numeric
@attribute channel_4_38 numeric
@attribute channel_4_39 numeric
@attribute channel_4_40 numeric
@attribute channel_4_41 numeric
@attribute channel_4_42 numeric
@attribute channel_4_43 numeric
@attribute channel_4_44 numeric
@attribute channel_4_45 numeric
@attribute channel_4_46 numeric
@attribute channel_4_47 numeric
@attribute channel_4_48 numeric
@attribute channel_4_49 numeric
@attribute channel_4_50 numeric
@attribute classAttribute {1.0,2.0,3.0,4.0,5.0,6.0}

@data
-2.015072,-2.007557,-2.010042,-2.032552,-1.953282,-1.861078,-1.699443,-1.253402,-0.62668,-0.216944,0.166592,0.434528,0.530182,0.141329,-0.670784,-0.546166,-0.515768,-0.51174,-0.509378,-0.555969,-0.532075,-0.054251,0.505936,0.605833,0.625232,0.55659,0.439711,0.342896,0.369876,0.367179,0.272491,0.213265,0.148868,0.031957,-0.160838,-0.47898,-0.982751,-1.322028,-1.538583,-1.801356,-1.950689,-1.978446,-1.953984,-2.004474,-1.991646,-1.997254,-1.998531,-1.976082,-1.960404,-2.006394,-1.96968,4.0
-1.669622,-1.669502,-1.670118,-1.668893,-1.669932,-1.667385,-1.663546,-1.661591,-1.654678,-1.649527,-1.630224,-1.614476,-1.608153,-1.582867,-1.481245,-1.354248,-1.1889,-0.890654,-0.577987,-0.388943,-0.151191,-0.048099,0.006819,0.058515,0.064866,0.075965,0.045679,0.015689,-0.041231,-0.157005,-0.311502,-0.504804,-0.711652,-0.933445,-1.161185,-1.34825,-1.478593,-1.585416,-1.618727,-1.639571,-1.63682,-1.667167,-1.705872,-1.705293,-1.72211,-1.670025,-1.675141,-1.660165,-1.661046,-1.657189,-1.651985,3.0
-1.75952,-1.757648,-1.756532,-1.758832,-1.759696,-1.762213,-1.758854,-1.749982,-1.708863,-1.562296,-1.343722,-1.053905,-0.720833,-0.399702,-0.040229,0.17794,0.318224,0.417189,0.387776,0.335023,0.329233,0.322679,0.248206,0.094396,-0.114451,-0.35942,-0.646084,-1.114641,-1.381693,-1.57776,-1.753186,-1.853594,-1.866076,-1.885418,-1.860486,-1.852056,-1.924534,-1.92451,-1.925343,-1.854104,-1.878063,-1.874888,-1.863753,-1.836437,-1.837524,-1.834789,-1.850683,-1.853864,-1.850999,-1.849589,-1.846684,3.0
-1.988466,-1.97458,-1.902257,-1.947784,-1.945825,-2.084645,-2.008614,-2.111232,-2.026418,-1.689875,-1.29974,-0.699191,-0.207894,0.377654,0.329149,-0.338592,-0.371705,-0.466076,-0.387196,-0.3288,-0.290934,-0.340986,-0.343956,-0.402044,0.344178,0.408306,0.254153,0.162116,0.00302,-0.088387,-0.078841,-0.06555,-0.045435,-0.072736,0.001144,0.005387,0.014372,-0.006491,-0.110538,-0.318059,-0.673416,-1.076507,-1.498823,-1.823952,-1.97338,-2.072033,-2.044119,-1.986791,-2.022216,-2.12182,-2.03433,4.0
-2.175653,-2.186112,-2.191935,-2.201684,-2.163609,-2.153792,-2.157014,-2.189766,-2.161948,-2.043274,-1.742078,-1.369355,-0.984952,-0.452723,-0.210405,-0.016609,0.08491,0.157973,0.21392,0.217647,0.20817,0.195151,0.18655,0.187358,0.190641,0.183239,0.132683,0.033301,-0.159144,-0.457555,-0.777879,-1.147431,-1.456021,-1.745396,-2.020632,-2.124294,-2.188905,-2.189108,-2.149591,-2.131923,-2.130632,-2.22029,-2.225011,-2.229489,-2.147226,-2.173595,-2.204341,-2.262276,-2.288412,-2.278274,-2.285993,3.0
-1.996431,-2.043989,-2.043682,-2.025308,-2.032186,-2.027937,-2.006452,-2.047603,-2.081025,-2.096781,-2.022876,-1.821151,-1.458227,-1.03151,-0.658334,-0.158927,0.053773,0.197926,0.253106,0.291666,0.273116,0.165242,0.025507,-0.075933,-0.048237,0.059403,0.115411,0.217692,-0.39616,-0.436025,-0.406232,-0.36603,-0.301785,-0.277025,-0.289269,-0.312023,-0.435947,-0.083264,-0.228179,-0.376104,-1.005835,-1.091179,-1.517228,-1.863691,-1.944444,-2.002446,-2.027075,-2.071999,-2.04001,-2.045425,-2.048883,5.0
-2.317945,-2.363977,-2.486983,-2.317603,-2.342279,-2.348279,-2.24596,-1.810199,-1.282136,-0.703666,-0.178634,0.29672,0.66191,0.98298,1.030083,1.389412,1.413844,1.444885,1.424415,1.430079,1.423403,1.373908,1.258107,1.085702,0.678165,0.205039,-0.303121,-0.792971,-1.463819,-1.751632,-2.035756,-2.175701,-2.306691,-2.350834,-2.30793,-2.33124,-2.228453,-2.409931,-2.396097,-2.407067,-2.435242,-2.450436,-2.330259,-2.447671,-2.435086,-2.443709,-2.424754,-2.252195,-2.385392,-2.386025,-2.357035,1.0
-1.89794,-1.894967,-1.893543,-1.898863,-1.906148,-1.891884,-1.895593,-1.905012,-1.892459,-1.866329,-1.883323,-1.789429,-1.687304,-1.436866,-1.078082,-0.562597,0.347924,1.046143,1.069841,1.232251,1.262813,1.373902,1.303689,1.47728,1.266534,1.197947,1.165818,1.195391,1.282273,1.230367,1.106585,0.829429,0.518206,-0.190277,-0.917941,-1.493912,-1.802002,-1.956733,-1.885202,-1.851084,-1.82205,-1.832206,-1.841023,-1.874553,-1.876708,-1.87356,-1.890443,-1.884738,-1.881071,-1.883066,-1.889809,6.0
-2.16317,-2.129826,-2.142052,-2.146581,-2.121312,-2.124883,-2.149012,-2.15366,-2.149367,-2.08918,-1.884478,-1.594024,-1.222537,-0.867428,-0.515742,-0.232474,0.003066,0.190293,0.312645,0.389161,0.428351,0.434818,0.419862,0.395743,0.389978,0.378883,0.37403,0.36388,0.323553,0.209117,-0.130441,-0.652499,-1.005432,-1.455906,-1.728604,-1.941715,-2.009248,-2.176788,-2.156758,-2.12282,-2.145181,-1.983621,-2.131699,-2.139881,-2.128239,-2.137869,-2.125306,-2.121609,-2.135129,-2.141594,-2.108698,3.0
-1.763904,-1.707817,-1.72932,-1.731248,-1.741676,-1.738009,-1.74908,-1.762044,-1.810036,-1.791979,-1.804629,-1.792071,-1.839453,-1.822529,-1.826281,-1.854951,-1.8341,-1.698808,-1.517461,-1.31105,-0.878547,-0.512986,-0.116349,0.268774,0.494979,0.679942,0.745961,0.797391,0.773814,0.795368,0.74711,0.765861,0.719969,0.567585,0.452218,0.404232,0.044654,-0.268796,-0.599459,-0.892891,-1.186176,-1.449687,-1.643684,-1.739213,-1.677385,-1.758921,-1.742564,-1.751735,-1.748023,-1.69099,-1.715712,2.0
-1.754899,-1.754426,-1.752922,-1.754517,-1.753102,-1.753401,-1.753271,-1.753542,-1.752947,-1.757662,-1.755838,-1.75085,-1.73203,-1.641623,-1.433422,-0.9691,-0.365445,0.223739,0.925623,1.098095,1.265834,1.469301,1.52836,1.11867,1.155349,1.120673,1.045564,1.01979,0.902302,0.998661,0.975852,0.978386,1.035109,1.061415,0.946961,1.128576,1.248608,1.130695,0.777357,0.151821,-0.459545,-1.089219,-1.517559,-1.6934,-1.783664,-1.748065,-1.743282,-1.740468,-1.735784,-1.730472,-1.73299,6.0
-1.615255,-1.617626,-1.623741,-1.618609,-1.620681,-1.622442,-1.621643,-1.6257,-1.626542,-1.629658,-1.635225,-1.632305,-1.629045,-1.626566,-1.626208,-1.629034,-1.629886,-1.631275,-1.628694,-1.640662,-1.634385,-1.632391,-1.640043,-1.64275,-1.656069,-1.53362,-1.383801,-1.120255,-0.783799,-0.394741,-0.019617,0.324545,0.624477,0.884508,1.089279,1.194915,1.368161,1.427205,1.450591,1.486979,1.530057,1.562751,1.583488,1.59581,1.603023,1.553868,1.530164,1.474528,1.470689,1.452053,1.393962,1.0
-2.068042,-2.070998,-2.064173,-2.072261,-2.073443,-2.006278,-2.025798,-2.16818,-2.180287,-2.130713,-1.912722,-1.48218,-1.081979,-0.649117,-0.249119,0.088166,0.417148,0.656323,0.76886,0.637643,0.793503,0.495918,0.142106,-0.279864,-0.133687,0.021302,0.060263,0.021097,0.032833,-0.001335,-0.10314,0.1757,0.64709,0.670686,0.516223,0.447375,0.366978,0.267521,0.155671,0.12345,0.131089,0.129743,0.138342,0.10241,-0.004663,-0.197028,-0.468118,-0.76002,-1.05783,-1.391529,-1.734966,4.0
